CCTV-4 中文国际欧洲,rtp://239.3.1.213:4220
湖北卫视,http://220.173.24.168:4022/udp/239.81.0.112:4056
贵州卫视,http://220.173.24.168:4022/udp/239.81.0.95:4056
辽宁卫视,http://220.173.24.168:4022/udp/239.81.0.210:4056
黑龙江卫视,http://220.173.24.168:4022/udp/239.81.0.105:4056
吉林卫视,http://220.173.24.168:4022/udp/239.81.0.58:4056
河南卫视,http://220.173.24.168:4022/udp/239.81.0.44:4056
内蒙古卫视,http://220.173.24.168:4022/udp/239.81.0.54:4056
西藏卫视,http://220.173.24.168:4022/udp/239.81.0.55:4056
云南卫视,http://220.173.24.168:4022/udp/239.81.0.45:4056
三沙卫视,http://220.173.24.168:4022/udp/239.81.0.242:4056
厦门卫视,http://220.173.24.168:4022/udp/239.81.0.212:4056
兵团卫视,http://220.173.24.168:4022/udp/239.81.0.213:4056
山东教育卫视,http://220.173.24.168:4022/udp/239.81.0.93:4056
嘉佳卡通,http://220.173.24.168:4022/udp/239.81.0.64:4056
卡酷动画,http://220.173.24.168:4022/udp/239.81.0.62:4056
金鹰卡通,http://220.173.24.168:4022/udp/239.81.0.61:4056
新动漫,http://220.173.24.168:4022/udp/239.81.0.235:4056
电竞游戏,http://220.173.24.168:4022/udp/239.81.0.202:4056
CETV1,http://220.173.24.168:4022/udp/239.81.0.92:4056
CETV2,http://220.173.24.168:4022/udp/239.81.0.245:4056
CETV4,http://220.173.24.168:4022/udp/239.81.0.246:4056
CGTN,http://220.173.24.168:4022/udp/239.81.0.28:4056
南宁影视娱乐,http://220.173.24.168:4022/udp/239.81.0.128:4056
南宁公共频道,http://220.173.24.168:4022/udp/239.81.0.129:4056
南宁文旅生活,http://220.173.24.168:4022/udp/239.81.0.127:4056
柳州新闻,http://220.173.24.168:4022/udp/239.81.0.134:4056
北海新闻,http://220.173.24.168:4022/udp/239.81.0.136:4056
玉林新闻,http://220.173.24.168:4022/udp/239.81.0.138:4056
贺州新闻,http://220.173.24.168:4022/udp/239.81.0.137:4056
桂林新闻,http://220.173.24.168:4022/udp/239.81.0.135:4056
华数爱上4K,http://220.173.24.168:4022/udp/239.81.0.123:4056
广西IPTV7,http://220.173.24.168:4022/udp/239.81.0.253:4056
广西IPTV8,http://220.173.24.168:4022/udp/239.81.0.208:4056
IPTV6电影,http://220.173.24.168:4022/udp/239.81.0.100:4056
IPTV12,http://220.173.24.168:4022/udp/239.81.0.124:4056
IPTV5体育,http://220.173.24.168:4022/udp/239.81.0.12:4056
东方卫视4K,http://58.63.67.183:8888/udp/239.77.0.59:5146
广东经济科教,http://58.63.67.183:8888/udp/239.77.0.85:5146
广东经济科教,http://58.63.67.183:8888/udp/239.77.0.167:5146
广东大湾区卫视,http://58.63.67.183:8888/udp/239.77.0.215:5146
广东少儿频道,http://58.63.67.183:8888/udp/239.77.0.250:5146
广东嘉佳卡通,http://58.63.67.183:8888/udp/239.77.0.179:5146
广东综艺4K,http://58.63.67.183:8888/udp/239.77.0.252:5146
广东4K超高清,http://58.63.67.183:8888/udp/239.77.0.245:5146
广东4K超高清,http://58.63.67.183:8888/udp/239.77.1.237:5146
广东4K超高清,http://58.63.67.183:8888/udp/239.77.0.244:5146
广州综合频道,http://58.63.67.183:8888/udp/239.253.43.71:5146
广州新闻频道,http://58.63.67.183:8888/udp/239.253.43.72:5146
广州影视频道,http://58.63.67.183:8888/udp/239.253.43.73:5146
广州法治频道,http://58.63.67.183:8888/udp/239.253.43.74:5146
南国都市4K,http://58.63.67.183:8888/udp/239.253.43.99:5146
深圳都市频道,http://58.63.67.183:8888/udp/239.77.1.176:5146
深圳电视剧频道,http://58.63.67.183:8888/udp/239.77.1.177:5146
深圳财经生活,http://58.63.67.183:8888/udp/239.77.1.242:5146
深圳体育健康,http://58.63.67.183:8888/udp/239.77.1.128:5146
深圳少儿频道,http://58.63.67.183:8888/udp/239.77.1.244:5146
宝安频道,http://58.63.67.183:8888/udp/239.77.1.67:5146
深圳龙岗频道,http://58.63.67.183:8888/udp/239.77.1.223:5146
佛山公共频道,http://58.63.67.183:8888/udp/239.253.43.53:5146
佛山南海频道,http://58.63.67.183:8888/udp/239.253.43.54:5146
佛山顺德频道,http://58.63.67.183:8888/udp/239.253.43.55:5146
佛山影视频道,http://58.63.67.183:8888/udp/239.253.43.56:5146
佛山综合频道,http://58.63.67.183:8888/udp/239.253.43.57:5146
东莞新闻综合,http://58.63.67.183:8888/udp/239.253.43.104:5146
东莞生活资讯,http://58.63.67.183:8888/udp/239.253.43.105:5146
韶关新闻综合,http://58.63.67.183:8888/udp/239.77.0.117:5146
湛江新闻综合,http://58.63.67.183:8888/udp/239.77.0.141:5146
湛江公共频道,http://58.63.67.183:8888/udp/239.77.0.140:5146
揭阳综合频道,http://58.63.67.183:8888/udp/239.77.0.229:5146
揭阳生活频道,http://58.63.67.183:8888/udp/239.77.0.251:5146
汕尾新闻综合,http://58.63.67.183:8888/udp/239.77.0.25:5146
汕尾文化生活,http://58.63.67.183:8888/udp/239.77.0.187:5146
江门综合频道,http://58.63.67.183:8888/udp/239.77.0.201:5146
江门侨乡生活,http://58.63.67.183:8888/udp/239.77.0.202:5146
潮州综合频道,http://58.63.67.183:8888/udp/239.253.43.70:5146
潮州民生频道,http://58.63.67.183:8888/udp/239.253.43.75:5146
HZTV-1,http://58.63.67.183:8888/udp/239.77.1.232:5146
HZTV-2,http://58.63.67.183:8888/udp/239.77.1.233:5146
珠海-1,http://58.63.67.183:8888/udp/239.77.0.155:5146
肇庆综合频道,http://58.63.67.183:8888/udp/239.253.43.1:5146
肇庆生活服务,http://58.63.67.183:8888/udp/239.253.43.2:5146
河源综合频道,http://58.63.67.183:8888/udp/239.253.43.213:5146
河源公共频道,http://58.63.67.183:8888/udp/239.253.43.214:5146
清远新闻综合,http://58.63.67.183:8888/udp/239.253.43.33:5146
清远文旅生活,http://58.63.67.183:8888/udp/239.253.43.34:5146
云浮综合频道,http://58.63.67.183:8888/udp/239.77.0.253:5146
云浮文旅频道,http://58.63.67.183:8888/udp/239.77.0.254:5146
茂名综合频道,http://58.63.67.183:8888/udp/239.77.0.206:5146
茂名文化生活,http://58.63.67.183:8888/udp/239.77.0.207:5146
汕头综合频道,http://58.63.67.183:8888/udp/239.253.43.45:5146
汕头经济生活,http://58.63.67.183:8888/udp/239.253.43.46:5146
中山综合频道,http://58.63.67.183:8888/udp/239.253.43.62:5146
香山文化频道,http://58.63.67.183:8888/udp/239.253.43.63:5146
CCTV-兵器科技,http://58.63.67.183:8888/udp/239.253.43.9:5146
CCTV-第一剧场,http://58.63.67.183:8888/udp/239.253.43.15:5146
CCTV-电视指南,http://58.63.67.183:8888/udp/239.253.43.10:5146
CCTV-风云剧场,http://58.63.67.183:8888/udp/239.253.43.16:5146
CCTV-风云音乐,http://58.63.67.183:8888/udp/239.253.43.6:5146
CCTV-风云足球,http://58.63.67.183:8888/udp/239.253.43.14:5146
CCTV-高尔夫·网球,http://58.63.67.183:8888/udp/239.253.43.12:5146
CCTV-怀旧剧场,http://58.63.67.183:8888/udp/239.253.43.5:5146
CCTV-女性时尚,http://58.63.67.183:8888/udp/239.253.43.8:5146
CCTV-世界地理,http://58.63.67.183:8888/udp/239.253.43.7:5146
CCTV-央视台球,http://58.63.67.183:8888/udp/239.253.43.11:5146
CCTV-文化精品,http://58.63.67.183:8888/udp/239.253.43.13:5146
东方卫视,http://58.63.67.183:8888/udp/239.77.1.218:5146
北京卫视,http://58.63.67.183:8888/udp/239.77.1.4:5146
北京卫视,http://58.63.67.183:8888/udp/239.77.1.151:5146
湖北卫视,http://58.63.67.183:8888/udp/239.77.0.128:5146
辽宁卫视,http://58.63.67.183:8888/udp/239.77.1.103:5146
黑龙江卫视,http://58.63.67.183:8888/udp/239.77.0.124:5146
贵州卫视,http://58.63.67.183:8888/udp/239.77.1.221:5146
河南卫视,http://58.63.67.183:8888/udp/239.77.1.229:5146
云南卫视,http://58.63.67.183:8888/udp/239.253.43.37:5146
吉林卫视,http://58.63.67.183:8888/udp/239.77.1.111:5146
三沙卫视,http://58.63.67.183:8888/udp/239.253.43.113:5146
CETV1,http://58.63.67.183:8888/udp/239.77.1.222:5146
CETV4,http://58.63.67.183:8888/udp/239.253.43.40:5146
CETV早期教育,http://58.63.67.183:8888/udp/239.77.0.180:5146
CGTN纪录,http://58.63.67.183:8888/udp/239.253.43.122:5146
CGTN英语,http://58.63.67.183:8888/udp/239.77.0.199:5146
CGTN西班牙语,http://58.63.67.183:8888/udp/239.77.0.221:5146
CGTN法语,http://58.63.67.183:8888/udp/239.77.0.228:5146
CGTN阿拉伯语,http://58.63.67.183:8888/udp/239.253.43.200:5146
CGTN俄语,http://58.63.67.183:8888/udp/239.253.43.201:5146
睛彩篮球,http://58.63.67.183:8888/udp/239.77.1.21:5146
睛彩青少,http://58.63.67.183:8888/udp/239.77.1.22:5146
福建综合频道,http://120.40.62.241:1000/rtp/239.61.3.4:9542
福建公共频道,http://120.40.62.241:1000/rtp/239.61.2.3:8012
福建新闻频道,http://120.40.62.241:1000/rtp/239.61.2.4:8018
福建电视剧频道,http://120.40.62.241:1000/rtp/239.61.2.5:8024
福建经济频道,http://120.40.62.241:1000/rtp/239.61.2.7:8036
福建文体频道,http://120.40.62.241:1000/rtp/239.61.2.160:8948
福建少儿频道,http://120.40.62.241:1000/rtp/239.61.2.9:8048
福建教育频道,http://120.40.62.241:1000/rtp/239.61.2.173:9026
福建旅游频道,http://120.40.62.241:1000/rtp/239.61.2.6:8030
海峡卫视,http://120.40.62.241:1000/rtp/239.61.2.151:8894
三沙卫视,http://120.40.62.241:1000/rtp/239.61.3.10:9578
厦门卫视,http://120.40.62.241:1000/rtp/239.61.2.11:8060
东方卫视,http://120.40.62.241:1000/rtp/239.61.2.28:8162
湖北卫视,http://120.40.62.241:1000/rtp/239.61.2.120:8714
黑龙江卫视,http://120.40.62.241:1000/rtp/239.61.2.34:8198
贵州卫视,http://120.40.62.241:1000/rtp/239.61.2.159:8942
辽宁卫视,http://120.40.62.241:1000/rtp/239.61.2.181:9074
北京卫视,http://120.40.62.241:1000/rtp/239.61.2.32:8186
云南卫视,http://120.40.62.241:1000/rtp/239.61.2.61:8360
河南卫视,http://120.40.62.241:1000/rtp/239.61.2.59:8348
吉林卫视,http://120.40.62.241:1000/rtp/239.61.2.223:9326
吉林卫视,http://120.40.62.241:1000/rtp/239.61.2.223:9326
内蒙古卫视,http://120.40.62.241:1000/rtp/239.61.2.226:9344
兵团卫视,http://120.40.62.241:1000/rtp/239.61.2.228:9356
西藏卫视,http://120.40.62.241:1000/rtp/239.61.2.229:9362
CHC动作电影,http://120.40.62.241:1000/rtp/239.61.3.16:9616
CETV1,http://120.40.62.241:1000/rtp/239.61.2.167:8990
CETV2,http://120.40.62.241:1000/rtp/239.61.3.6:9554
CETV4,http://120.40.62.241:1000/rtp/239.61.3.15:9608
CGTN英语,http://120.40.62.241:1000/rtp/239.61.2.19:8108
CGTN纪录,http://120.40.62.241:1000/rtp/239.61.3.43:9776
CGTN法语,http://120.40.62.241:1000/rtp/239.61.3.44:9782
CGTN俄语,http://120.40.62.241:1000/rtp/239.61.3.45:9788
金鹰纪实,http://120.40.62.241:1000/rtp/239.61.3.7:9560
茶频道,http://120.40.62.241:1000/rtp/239.61.3.59:9872
河南梨园频道,http://120.40.62.241:1000/rtp/239.61.3.19:9634
河南文物宝库,http://120.40.62.241:1000/rtp/239.61.3.21:9646
河南武术世界,http://120.40.62.241:1000/rtp/239.61.3.22:9652
中国天气,http://120.40.62.241:1000/rtp/239.61.2.64:8378
金鹰卡通,http://120.40.62.241:1000/rtp/239.61.2.221:9314
卡酷少儿,http://120.40.62.241:1000/rtp/239.61.2.222:9320
嘉佳卡通,http://120.40.62.241:1000/rtp/239.61.2.72:8426
揭阳公共,http://113.64.146.6:2024/hls/1/index.m3u8
揭阳综合,http://113.64.146.6:2024/hls/2/index.m3u8
惠来综合,http://113.64.146.6:2024/hls/3/index.m3u8
汕头综合,http://113.64.146.6:2024/hls/4/index.m3u8
经济生活,http://113.64.146.6:2024/hls/5/index.m3u8
汕尾-1,http://113.64.146.6:2024/hls/7/index.m3u8
鳯凰资讯,http://113.64.146.6:2024/hls/10/index.m3u8
鳯凰中文,http://113.64.146.6:2024/hls/11/index.m3u8
本港台,http://113.64.146.6:2024/hls/12/index.m3u8
龍翔時代,http://113.64.146.6:2024/hls/14/index.m3u8
重温经典,http://113.64.146.6:2024/hls/15/index.m3u8
热播剧场,http://113.64.146.6:2024/hls/40/index.m3u8
经济科教,http://113.64.146.6:2024/hls/41/index.m3u8
风云足球,http://113.64.146.6:2024/hls/43/index.m3u8
岭南戏曲,http://113.64.146.6:2024/hls/47/index.m3u8
现代教育,http://113.64.146.6:2024/hls/49/index.m3u8
嘉佳卡通,http://113.64.146.6:2024/hls/50/index.m3u8
卡酷动画,http://113.64.146.6:2024/hls/51/index.m3u8
金鹰卡通,http://113.64.146.6:2024/hls/52/index.m3u8
炫动卡通,http://113.64.146.6:2024/hls/53/index.m3u8
优漫卡通,http://113.64.146.6:2024/hls/54/index.m3u8
东方卫视,http://113.64.146.6:2024/hls/58/index.m3u8
北京卫视,http://113.64.146.6:2024/hls/60/index.m3u8
辽宁卫视,http://113.64.146.6:2024/hls/67/index.m3u8
湖北卫视,http://113.64.146.6:2024/hls/68/index.m3u8
黑龙江卫视,http://113.64.146.6:2024/hls/70/index.m3u8
贵州卫视,http://113.64.146.6:2024/hls/72/index.m3u8
内蒙古卫视,http://113.64.146.6:2024/hls/76/index.m3u8
河南卫视,http://113.64.146.6:2024/hls/77/index.m3u8
内蒙古卫视,http://113.64.146.6:2024/hls/79/index.m3u8
云南卫视,http://113.64.146.6:2024/hls/83/index.m3u8
兵团卫视,http://113.64.146.6:2024/hls/85/index.m3u8
云南卫视,http://113.64.146.6:2024/hls/86/index.m3u8
三沙卫视,http://113.64.146.6:2024/hls/88/index.m3u8
吉林卫视,http://113.64.146.6:2024/hls/89/index.m3u8
